           330                                                                                         
            1         2         1         3         5       359       358       360       362         1       1    100
            2         4         2         5         8       361       359       362       365         1       1    100
            3         7         4         8        12       364       361       365       369         1       1    100
            4        11         7        12        17       368       364       369       374         1       1    100
            5        16        11        17        23       373       368       374       380         1       1    100
            6        22        16        23        30       379       373       380       387         1       1    100
            7        29        22        30        37       386       379       387       394         1       1    100
            8        36        29        37        44       393       386       394       401         1       1    100
            9        43        36        44        51       400       393       401       408         1       1    100
           10        50        43        51        59       407       400       408       416         1       1    100
           11        58        50        59        68       415       407       416       425         1       1    100
           12        67        58        68        78       424       415       425       435         1       1    100
           13        77        67        78        89       434       424       435       446         1       1    100
           14        88        77        89       101       445       434       446       458         1       1    100
           15       100        88       101       114       457       445       458       471         1       1    100
           16       113       100       114       128       470       457       471       485         1       1    100
           17       127       113       128       143       484       470       485       500         1       1    100
           18       142       127       143       159       499       484       500       516         1       1    100
           19       158       142       159       176       515       499       516       533         1       1    100
           20       175       158       176       193       532       515       533       550         1       1    100
           21       192       175       193       210       549       532       550       567         1       1    100
           22       209       192       210       227       566       549       567       584         1       1    100
           23       226       209       227       244       583       566       584       601         1       1    100
           24       243       226       244       260       600       583       601       617         1       1    100
           25       259       243       260       275       616       600       617       632         1       1    100
           26       274       259       275       289       631       616       632       646         1       1    100
           27       288       274       289       302       645       631       646       659         1       1    100
           28       301       288       302       314       658       645       659       671         1       1    100
           29       313       301       314       325       670       658       671       682         1       1    100
           30       324       313       325       334       681       670       682       691         1       1    100
           31         5         3         6         9       362       360       363       366         1       1    100
           32         8         5         9        13       365       362       366       370         1       1    100
           33        12         8        13        18       369       365       370       375         1       1    100
           34        17        12        18        24       374       369       375       381         1       1    100
           35        23        17        24        31       380       374       381       388         1       1    100
           36        30        23        31        38       387       380       388       395         1       1    100
           37        37        30        38        45       394       387       395       402         1       1    100
           38        44        37        45        52       401       394       402       409         1       1    100
           39        51        44        52        60       408       401       409       417         1       1    100
           40        59        51        60        69       416       408       417       426         1       1    100
           41        68        59        69        79       425       416       426       436         1       1    100
